Gene
FCGBP
ID3
ELOVL4
SCN3A
IGHG1
LRRN3
TMTC1
CD79B
MMP9
MARCO
CYP1B1
S1PR5
ZNF677
CDKN1C
PPP2R5A
PMEPA1
DPP4
TCL1A
CYBRD1
FCRLA
FGFBP2
GZMH
CD27
FCRL1
DSC2
DOCK5
ABCB4
NBEAL2
SPTBN1
BANK1
ZNF667
IL7R
CCR7
CD72
LGMN
SORT1
CD22
STX11
CD19
EPHA4
LEF1
CDH23
KIAA0319L
CDCA7L
UGT8
EBF1
ADCY7
UBASH3A
NELL2
DSC1
PDK4
PADI4
GEMIN4
CD8B
APOBEC3B
CX3CR1
BLK
VPREB3
TTC16
SHMT2
PTPRK
MS4A1
S100P
P2RX5
DEFA4
POU2AF1
B3GALT2
TFB2M
TNK2
KLRB1
BCL11A
TXNDC5
ABLIM1
FAM111B
LMO7
NBEA
ZDBF2
SLC16A3
FKBP5
TCF3
MAL
DAAM2
CTNNA1
PCDH9
GPR18
DNAH6
MED16
CYP4F3
BTLA
DHX34
ZNF891
FAR2
GNS
SORCS3
PGLYRP1
SPIB
MXD1
TAGLN
ZBTB7B
BACH2
ITGA6
IRAK3
NMUR1
ERBB2
CDK19
TPP2
ZNF329
OXNAD1
ADAM8
PLEKHA7
SELENBP1
ORM1
CENPF
ATF7IP2
ADD2
ZNF605
FCRL2
KLHL32
PSPH
TRIB2
TMEM156
VPS18
ATP2B4
TCF4
HLA-DQA1
F5
MS4A4A
STRBP
ITGB3
IMPDH2
NMT2
EPHA1
CNTNAP3
ARHGEF2
IGF2R
POLR1E
GLDC
RASGRP3
TSPAN13
GZMK
LDLRAP1
B3GAT1
SLC38A1
CEP290
ZNF529
LBH
OSBP2
CXCR6
HBM
PRF1
PAX5
SUSD3
INPP4B
CAMK4
BCL7A
TOP1MT
LTA
FARSB
NOSIP
TCF7
SPAG16
CPNE5
HS3ST1
CXCR5
SEL1L3
C1orf21
MCL1
ZNF256
PRMT1
S100B
PAICS
ARG1
PF4V1
FMN1
ZSCAN18
PAIP2B
USP44
DYSF
PDLIM7
COL19A1
ECHDC3
FLNB
RPS6KA5
SIGLEC6
MYC
TARBP1
PTGDR
ADAMTS6
MEST
RCAN3
ALPL
SH2D1B
HAVCR2
CD79A
SIRT4
VCAN
LDHB
BLNK
MTBP
KCNE3
CENPV
CYB5A
RORC
ABCA1
C12orf57
EIF2AK3
PLCG1
ZNF444
NADK
ALDH3B1
EFNA1
ZNF544
PTGER4
HBA1
PLEKHG1
ZDHHC12
TRABD
HSPH1
GNG7
PLCG2
B3GAT3
CD96
ANKRD22
RUVBL1
ALKBH7
COL5A3
STXBP4
P2RX7
CHMP7
ABHD5
CD3D
TSPO
GZMB
TANC1
NUCB2
QPCT
CD180
HIP1R
KIF5C
COBLL1
TPRN
RAB3D
AKNA
PHOSPHO1
RHOC
LTBP3
SLCO5A1
ANK1
PPM1F
TTC27
MME
CBL
SLC11A1
GABARAPL1
CTSD
CDH1
GNLY
SLC9A1
ICOS
GAB1
FBL
GNG2
PLD4
HMOX1
FCER2
HLA-DOA
OBSCN
CMTM6
CCR6
MIF
AXIN2
ZSCAN30
IGFBP7
KLRD1
TMEM67
CDR2
ISG15
DOK3
SIRPG
UBR2
PLAG1
AASS
TBC1D4
GPNMB
MRPS27
GTPBP10
BCL11B
TNFRSF13C
KIAA0513
E2F2
AQP3
ZBTB42
DGKG
SATB1
ATG7
FCRL5
OSM
DENND5B
